"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-30",,"89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-05-31",,"90",,"82"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-01",,"90",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-02",,"90",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-03",,"89",,"82"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-04",,"89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-05",,"87",,"82"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-06",,"88",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-07",,"89",,"83"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-08",,"89",,"83"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-09",,"89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-10",,"89",,"85"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-11",,"85",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-12",,"89",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-13",,"89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-14","0.01","89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-15","0.24","88",,"82"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-16","0.00","89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-17","0.00","89",,"84"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-18","0.08","89",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-19","0.08","84",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-20","1.30","82",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-21","4.21","83",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-22","1.46","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-23","0.12","82",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-24","1.46","81",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-25","4.53","80",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-26","3.35","80",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-27","1.34","81",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-28","3.11","80",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-29","4.09","80",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-06-30","0.51","80",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-01","2.80","82",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-02","3.03","81",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-03","3.66","82",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-04","1.02","82",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-05","1.81","81",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-06","0.39","84",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-07","0.35","84",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-08","0.04","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-09","0.43","84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-10","3.90","84",,"81"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-11","0.28","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-12","0.28","83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-13","0.63","83",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-14","0.51","81",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-15","0.43","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-16","0.08","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-17","0.51","82",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-18","0.59","81",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-19","2.28","80",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-20","2.52","81",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-21","0.43","79",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-22","0.59","82",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-23","0.39","81","89","74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-24","0.24","82",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-25","0.31","82",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-26","0.00","80",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-27","2.68","79",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-28","0.67","78",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-29","4.33","78",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-30","4.53","81",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-07-31","0.59","80",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-01","4.37","81",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-02","1.02","82",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-03","0.51","82",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-04","0.59","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-05","0.67","80",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-06","5.59","82",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-07","0.51","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-08","0.12","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-09","0.08","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-10","0.43","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-11","0.16","82",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-12","0.12","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-13","0.04","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-14","0.00","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-15","0.12","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-16","0.08","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-17","0.00","83",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-18","0.35","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-19","0.00","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-20","0.04","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-21","0.20","83",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-22","0.08","82",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-23","0.35","81",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-24","0.43","83",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-25","0.20","83",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-26","0.04","79",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-08-27","2.24","78",,"75"
